,year,Q,DBO gross,movies,revenue,earnings
0,2014.0,1.0,2399896607.0,302.0,622758000.0,-4508000.0
1,2014.0,2.0,2836836996.0,332.0,726573000.0,31393000.0
2,2014.0,3.0,2504769341.0,348.0,633904000.0,7376000.0
3,2014.0,4.0,2627358905.0,340.0,712155000.0,29819000.0
4,2015.0,1.0,2474840407.0,287.0,653124000.0,6138000.0
5,2015.0,2.0,3111375596.0,307.0,821079000.0,43923000.0
6,2015.0,3.0,2651981596.0,318.0,688840000.0,12178000.0
7,2015.0,4.0,2910583148.0,342.0,783857000.0,41617000.0
8,2016.0,1.0,2784471480.0,263.0,766017000.0,28291000.0
9,2016.0,2.0,2803870622.0,318.0,763962000.0,23967000.0
10,2016.0,3.0,2978884035.0,345.0,779771000.0,30436000.0
11,2016.0,4.0,2807999318.0,360.0,926096000.0,28973000.0
12,2017.0,1.0,2912280871.0,281.0,1283400000.0,8400000.0
13,2017.0,2.0,2705602209.0,312.0,1202300000.0,-176500000.0
14,2017.0,3.0,2562244996.0,337.0,1178700000.0,-42700000.0
15,2017.0,4.0,2895259444.0,348.0,1416800000.0,-276400000.0
16,2018.0,1.0,2858379432.0,321.0,1383600000.0,17700000.0
17,2018.0,2.0,3347412357.0,370.0,1442500000.0,22200000.0
18,2018.0,3.0,2734900097.0,371.0,1221400000.0,-100400000.0
19,2018.0,4.0,2951468125.0,384.0,1413300000.0,170600000.0
20,2019.0,1.0,2400027437.0,302.0,1200400000.0,-130200000.0
21,2019.0,2.0,3261698580.0,368.0,1506100000.0,49400000.0
22,2019.0,3.0,2812620625.0,342.0,1316800000.0,-54800000.0
23,2019.0,4.0,2889014247.0,350.0,1447700000.0,-13500000.0
24,2020.0,1.0,1789173905.0,246.0,941500000.0,-2176300000.0
25,2020.0,2.0,4725480.0,30.0,18900000.0,-561200000.0
26,2020.0,3.0,126154944.0,106.0,119500000.0,-905800000.0
27,2020.0,4.0,193792471.0,150.0,162500000.0,-946100000.0
28,2021.0,1.0,236495603.0,111.0,148300000.0,-567200000.0
29,2021.0,2.0,811084276.0,152.0,444700000.0,-344000000.0
30,2021.0,3.0,1367417382.0,159.0,763200000.0,-224200000.0
31,2021.0,4.0,2067811192.0,175.0,1171700000.0,-134400000.0
32,2022.0,1.0,1344645095.0,134.0,785700000.0,-337400000.0
33,2022.0,2.0,2325778439.0,170.0,1166400000.0,-121600000.0
34,2022.0,3.0,1923613844.0,187.0,968400000.0,-226900000.0
35,2022.0,4.0,1774933958.0,206.0,990900000.0,-287700000.0
