,date,high,volume,FF,dilution
0,2014-02-14,15.952480311973142,172600,21.56,False
1,2014-02-18,15.894942907752196,183800,21.56,False
2,2014-02-19,16.002822525865316,210900,21.56,False
3,2014-02-20,15.86617203742051,179800,21.56,False
4,2014-02-21,16.283323764554595,303800,21.56,False
5,2014-02-24,16.18262923288293,245400,21.56,False
6,2014-02-25,16.491902190766027,252800,21.56,False
7,2014-02-26,16.455938861288516,567500,21.56,False
8,2014-02-27,16.499091748038804,374300,21.56,False
9,2014-02-28,16.499093179414157,306200,21.56,False
10,2014-03-03,16.973780722337136,432900,21.56,False
11,2014-03-04,17.592322433347015,1157200,21.56,False
12,2014-03-05,17.83685558381609,355400,21.56,False
13,2014-03-06,18.189280303848353,351300,21.56,False
14,2014-03-07,18.563278530252113,487700,21.56,False
15,2014-03-10,18.987622285857835,398500,21.56,False
16,2014-03-11,19.18901003509863,1226700,21.56,False
17,2014-03-12,17.678621519311417,508100,21.56,False
18,2014-03-13,17.664234960490138,827600,21.56,False
19,2014-03-14,17.836851989098424,567000,21.56,False
20,2014-03-17,18.28997213671208,868000,21.56,False
21,2014-03-18,18.160507923822056,547500,21.56,False
22,2014-03-19,17.189549105218163,569200,21.56,False
23,2014-03-20,17.00974530350405,429200,21.56,False
24,2014-03-21,17.038516059066307,1645900,21.56,False
25,2014-03-24,16.707664185752318,385500,21.56,False
26,2014-03-25,17.412512021105535,398400,21.56,False
27,2014-03-26,17.311819093684463,238200,21.56,False
28,2014-03-27,17.311812355409387,284300,21.56,False
29,2014-03-28,17.254284864139194,283600,21.56,False
30,2014-03-31,17.441280364990234,2337300,21.56,False
31,2014-04-01,17.779314041137695,374600,21.56,False
32,2014-04-02,18.081396446286767,321500,21.56,False
33,2014-04-03,17.980703041571264,374700,21.56,False
34,2014-04-04,17.04570641270586,322900,21.56,False
35,2014-04-07,16.657322582648558,238500,21.56,False
36,2014-04-08,17.390935386107092,522000,21.56,False
37,2014-04-09,17.34778451293574,282000,21.56,False
38,2014-04-10,17.002551860344372,118000,21.56,False
39,2014-04-11,17.05289573524004,581500,21.56,False
40,2014-04-14,17.26866479500091,305200,21.56,False
41,2014-04-15,17.218320283160182,264700,21.56,False
42,2014-04-16,16.276135498729744,191000,21.56,False
43,2014-04-17,16.290512166938306,367100,21.56,False
44,2014-04-21,17.002553317426628,312400,21.56,False
45,2014-04-22,16.887475037595433,202500,21.56,False
46,2014-04-23,16.873089005174034,302100,21.56,False
47,2014-04-24,17.16078616875058,134700,21.56,False
48,2014-04-25,16.71485573601386,328300,21.56,False
49,2014-04-28,16.326475746525112,289600,21.56,False
50,2014-04-29,16.4199753931039,151000,21.56,False
51,2014-04-30,16.671708397780137,599000,21.56,False
52,2014-05-01,17.304625999672226,632300,21.56,False
53,2014-05-02,17.67862602742107,346000,21.56,False
54,2014-05-05,17.03132181464445,191100,21.56,False
55,2014-05-06,16.463132960547156,238400,21.56,False
56,2014-05-07,16.182631486219535,204000,21.56,False
57,2014-05-08,15.995628145663305,197100,21.56,False
58,2014-05-09,15.32675379834364,202500,21.56,False
59,2014-05-12,15.614440323342897,189700,21.56,False
60,2014-05-13,15.6647925329726,136200,21.56,False
61,2014-05-14,15.571288931306983,135000,21.56,False
62,2014-05-15,15.556902078064544,195300,21.56,False
63,2014-05-16,15.427439648082201,262400,21.56,False
64,2014-05-19,15.858973474850865,156400,21.56,False
65,2014-05-20,15.880550804111664,160800,21.56,False
66,2014-05-21,16.117898416629018,151500,21.56,False
67,2014-05-22,16.197014121437483,113800,21.56,False
68,2014-05-23,16.369632550840727,93200,21.56,False
69,2014-05-27,16.880282920055848,174300,21.56,False
70,2014-05-28,16.714860439709415,192100,21.56,False
71,2014-05-29,16.606978417866568,307700,21.56,False
72,2014-05-30,16.585395763450467,241500,21.56,False
73,2014-06-02,16.463132276036298,259400,21.56,False
74,2014-06-03,16.312092270708366,879100,21.56,False
75,2014-06-04,16.69021476830915,183700,21.56,False
76,2014-06-05,16.690209359554736,134700,21.56,False
77,2014-06-06,17.619052463349664,415100,21.56,False
78,2014-06-09,17.698881765614942,113500,21.56,False
79,2014-06-10,17.57551803994979,103800,21.56,False
80,2014-06-11,17.873030859800963,103000,21.56,False
81,2014-06-12,17.582771496730498,119300,21.56,False
82,2014-06-13,17.800473672735848,194900,21.56,False
83,2014-06-16,17.77870168793279,212100,21.56,False
84,2014-06-17,17.756931072344592,285900,21.56,False
85,2014-06-18,17.706130981445312,121800,21.56,False
86,2014-06-19,17.974632233620774,143000,21.56,False
87,2014-06-20,17.989139730147752,193000,21.56,False
88,2014-06-23,17.887551262827603,186500,21.56,False
89,2014-06-24,17.880294928599945,86000,21.56,False
90,2014-06-25,17.742415697889683,91900,21.56,False
91,2014-06-26,17.85126710135759,42300,21.56,False
92,2014-06-27,17.938342289392804,358400,21.56,False
93,2014-06-30,18.105244450752764,123100,21.56,False
94,2014-07-01,18.14152839038244,248600,21.56,False
95,2014-07-02,17.996397940583957,75300,21.56,False
96,2014-07-03,18.06896429458671,54400,21.56,False
97,2014-07-07,17.96011903931753,147200,21.56,False
98,2014-07-08,17.473928764229377,123300,21.56,False
99,2014-07-09,17.28524674713166,104600,21.56,False
100,2014-07-10,16.994986361515732,173200,21.56,False
101,2014-07-11,17.03126718884256,89600,21.56,False
102,2014-07-14,17.1401207190299,101200,21.56,False
103,2014-07-15,16.806315370181782,129700,21.56,False
104,2014-07-16,16.436226805478007,326300,21.56,False
105,2014-07-17,16.385429330782674,231700,21.56,False
106,2014-07-18,16.523306323465448,279000,21.56,False
107,2014-07-21,16.501537424719952,150800,21.56,False
108,2014-07-22,16.617645512175613,131300,21.56,False
109,2014-07-23,16.617642123845425,42600,21.56,False
110,2014-07-24,16.5233067716181,79900,21.56,False
111,2014-07-25,16.733746494777346,174700,21.56,False
112,2014-07-28,16.799058473900235,108800,21.56,False
113,2014-07-29,16.89339472822987,96300,21.56,False
114,2014-07-30,16.516052020552966,153600,21.56,False
115,2014-07-31,16.8716261032125,308900,21.56,False
116,2014-08-01,16.748261278599585,185700,21.56,False
117,2014-08-04,16.96595870568791,214000,21.56,False
118,2014-08-05,17.053041339887717,159400,21.56,False
119,2014-08-06,17.394098806336412,159100,21.56,False
120,2014-08-07,17.343304775380364,94500,21.56,False
121,2014-08-08,17.089321168386657,73600,21.56,False
122,2014-08-11,17.154631926636068,100000,21.56,False
123,2014-08-12,16.987730915031683,58300,21.56,False
124,2014-08-13,16.987733199972432,83200,21.56,False
125,2014-08-14,16.813569951094323,89000,21.56,False
126,2014-08-15,16.864367554866366,118800,21.56,False
127,2014-08-18,17.21994279170884,143900,21.56,False
128,2014-08-19,17.36507386850973,121100,21.56,False
129,2014-08-20,17.140118042440978,61500,21.56,False
130,2014-08-21,17.11835144515641,118900,21.56,False
131,2014-08-22,17.292505082663453,80500,21.56,False
132,2014-08-25,17.277992673007645,34300,21.56,False
133,2014-08-26,17.270738650981418,85900,21.56,False
134,2014-08-27,17.190918512812264,94100,21.56,False
135,2014-08-28,17.198171330407355,69700,21.56,False
136,2014-08-29,17.21994424834169,59000,21.56,False
137,2014-09-02,17.408617952685145,151600,21.56,False
138,2014-09-03,17.965067646691352,177000,21.56,False
139,2014-09-04,17.840668984960733,114600,21.56,False
140,2014-09-05,18.016289389668003,137500,21.56,False
141,2014-09-08,18.316321404504233,295100,21.56,False
142,2014-09-09,18.228504724814584,256100,21.56,False
143,2014-09-10,17.99433790985811,181900,21.56,False
144,2014-09-11,18.082152336753246,66000,21.56,False
145,2014-09-12,18.074835817944113,402000,21.56,False
146,2014-09-15,18.543168619318607,191000,21.56,False
147,2014-09-16,18.162648918597153,95300,21.56,False
148,2014-09-17,18.14801209067575,83600,21.56,False
149,2014-09-18,18.287052022557976,103100,21.56,False
150,2014-09-19,18.118739403860417,201300,21.56,False
151,2014-09-22,18.221186811505135,207000,21.56,False
152,2014-09-23,18.213872096094157,161900,21.56,False
153,2014-09-24,17.460143780654448,112500,21.56,False
154,2014-09-25,17.284522644867987,72400,21.56,False
155,2014-09-26,17.255244283327315,55800,21.56,False
156,2014-09-29,17.211339028318225,117600,21.56,False
157,2014-09-30,17.24061102270144,199300,21.56,False
158,2014-10-01,16.8820393418013,273300,21.56,False
159,2014-10-02,17.021078940821447,243100,21.56,False
160,2014-10-03,17.240613871595315,57700,21.56,False
161,2014-10-06,17.269883103704945,57700,21.56,False
162,2014-10-07,17.05766681987988,113300,21.56,False
163,2014-10-08,16.603966002883602,100200,21.56,False
164,2014-10-09,16.552745911574444,89100,21.56,False
165,2014-10-10,16.369803030870276,132600,21.56,False
166,2014-10-13,16.311257040097757,193500,21.56,False
